A,B,C,D,Vth,exp_exact,exp_k1
127,1005,777,716,0,1,1
66,522,199,238,0,1,1
107,4,2,269,0,1,1
866,886,729,514,0,1,1
112,1007,720,867,0,1,1
557,756,482,39,0,1,1
43,998,436,953,0,1,1
158,310,762,316,0,1,1
781,39,98,324,0,1,1
222,431,728,1019,0,1,1
392,343,34,821,0,1,1
483,539,886,818,0,1,1
464,752,859,262,0,1,1
1,46,21,85,0,1,1
958,417,317,175,0,1,1
280,48,82,466,0,1,1
909,538,473,996,0,1,1
828,460,261,692,0,1,1
117,356,530,538,0,1,1
669,343,934,592,0,1,1
684,858,869,877,0,1,1
855,386,906,248,0,1,1
994,401,271,952,0,1,1
851,183,544,499,0,1,1
234,490,597,715,0,1,1
266,493,737,586,0,1,1
2,588,32,17,0,1,1
840,1,2,842,0,1,1
730,404,669,676,0,1,1
219,3,199,9,0,1,1
999,907,738,836,0,1,1
369,93,988,406,0,1,1
756,535,710,98,0,1,1
762,254,107,473,0,1,1
4,68,33,67,0,1,1
949,933,955,295,0,1,1
907,281,461,756,0,1,1
606,168,512,52,0,1,1
759,448,641,788,0,1,1
557,269,932,985,0,1,1
791,89,951,495,0,1,1
3,263,4,101,0,1,1
276,1,191,8,0,1,1
485,1,4,491,0,1,1
372,482,614,93,0,1,1
431,599,289,238,0,1,1
457,428,3,47,0,1,1
446,337,409,718,0,1,1
206,132,31,329,0,1,1
345,814,714,227,0,1,1
73,20,24,24,0,1,1
253,650,371,764,0,1,1
519,470,113,973,0,1,1
548,987,656,222,0,1,1
978,575,331,972,0,1,1
834,255,960,793,0,1,1
134,408,275,825,0,1,1
51,26,8,148,0,1,1
309,440,850,607,0,1,1
89,649,466,409,0,1,1
909,449,144,76,0,1,1
95,11,3,102,0,1,1
87,346,467,332,0,1,1
799,853,669,14,0,1,1
343,113,380,959,0,1,1
500,450,858,534,0,1,1
782,365,796,46,0,1,1
492,348,903,164,0,1,1
793,93,451,273,0,1,1
526,314,334,455,0,1,1
562,364,94,974,0,1,1
74,718,663,732,0,1,1
130,10,375,980,0,1,1
318,321,107,363,0,1,1
766,64,77,374,0,1,1
941,206,61,724,0,1,1
21,199,687,898,0,1,1
623,40,433,706,0,1,1
624,3,116,4,0,1,1
811,264,532,282,0,1,1
12,83,2,500,0,1,1
190,305,356,552,0,1,1
959,325,745,312,0,1,1
487,79,421,868,0,1,1
1,38,369,1,0,1,1
135,7,31,19,0,1,1
556,940,582,5,0,1,1
888,315,916,989,0,1,1
701,513,1009,666,0,1,1
358,937,690,882,0,1,1
685,174,555,328,0,1,1
434,304,735,985,0,1,1
740,156,707,666,0,1,1
542,25,204,227,0,1,1
12,148,418,179,0,1,1
681,355,456,305,0,1,1
445,300,625,670,0,1,1
599,224,913,323,0,1,1
1012,731,835,591,0,1,1
903,147,633,1018,0,1,1
479,0,15,25,0,1,1
965,0,0,543,0,0,0
460,978,1017,319,0,1,1
33,491,340,505,0,1,1
943,452,592,883,0,1,1
171,0,2,932,0,1,1
163,227,493,340,0,1,1
236,901,300,770,0,1,1
52,37,0,503,0,1,1
740,830,176,665,0,1,1
946,967,350,742,0,1,1
569,973,991,659,0,1,1
811,2,811,1,0,1,1
898,818,553,23,0,1,1
63,4,2,293,0,1,1
217,7,793,0,0,1,1
392,72,1008,63,0,1,1
323,544,324,208,0,1,1
957,694,417,459,0,1,1
567,937,415,557,0,1,1
922,399,184,42,0,1,1
476,126,4,88,0,1,1
2,28,3,176,0,1,1
857,161,646,414,0,1,1
966,473,20,581,0,1,1
246,903,132,566,0,1,1
551,734,692,17,0,1,1
1,918,43,21,0,1,1
34,38,410,2,0,1,1
964,500,818,730,0,1,1
870,378,55,164,0,1,1
750,2,537,50,0,1,1
288,905,53,196,0,1,1
48,23,1,64,0,1,1
895,710,624,836,0,1,1
575,428,45,16,0,1,1
147,29,342,824,0,1,1
454,332,687,54,0,1,1
227,370,473,456,0,1,1
177,312,704,687,0,1,1
47,9,9,43,0,1,1
218,194,156,572,0,1,1
904,638,885,25,0,1,1
741,727,548,140,0,1,1
920,622,603,150,0,1,1
102,12,44,23,0,1,1
438,485,118,176,0,1,1
440,535,178,642,0,1,1
710,788,445,548,0,1,1
2,471,2,619,0,1,1
686,1,32,29,0,1,1
294,641,171,523,0,1,1
95,884,396,914,0,1,1
350,41,819,241,0,1,1
16,474,583,485,0,1,1
377,983,672,329,0,1,1
494,487,177,556,0,1,1
400,399,157,63,0,1,1
278,3,19,70,0,1,1
150,947,369,215,0,1,1
416,189,106,675,0,1,1
526,446,142,400,0,1,1
403,256,666,34,0,1,1
703,171,362,489,0,1,1
352,520,50,786,0,1,1
98,832,471,755,0,1,1
346,909,8,204,0,1,1
7,210,68,4,0,1,1
257,654,677,0,0,1,1
4,218,18,92,0,1,1
772,954,108,2,0,1,1
598,832,633,127,0,1,1
426,869,753,718,0,1,1
373,747,253,419,0,1,1
179,145,620,329,0,1,1
872,820,213,701,0,1,1
327,24,746,730,0,1,1
579,965,808,13,0,1,1
466,162,210,22,0,1,1
98,23,119,121,0,1,1
533,195,447,527,0,1,1
156,7,804,0,0,1,1
796,22,658,809,0,1,1
462,579,778,411,0,1,1
545,314,651,1009,0,1,1
838,40,983,719,0,1,1
344,231,44,482,0,1,1
706,0,451,4,0,1,1
106,629,696,212,0,1,1
634,766,484,304,0,1,1
543,900,618,20,0,1,1
425,216,307,39,0,1,1
636,175,276,651,0,1,1
158,671,374,222,0,1,1
479,533,729,802,0,1,1
440,475,457,101,0,1,1
606,998,370,622,0,1,1
0,667,27,95,0,1,1
8,790,1006,426,0,1,1
292,5,27,9,0,1,1
204,464,601,939,0,1,1
121,2,7,303,0,1,1
919,771,60,609,0,1,1
953,522,775,627,0,1,1
137,16,18,7,0,1,1
729,363,1008,264,0,1,1
826,363,242,289,0,1,1
967,698,618,803,0,1,1
544,372,252,949,0,1,1
793,363,104,653,0,1,1
300,779,7,117,0,1,1
316,763,694,45,0,1,1
663,982,121,329,0,1,1
992,80,53,819,0,1,1
711,276,124,430,0,1,1
843,450,48,340,0,1,1
210,0,0,143,0,0,0
536,807,778,147,0,1,1
316,26,876,203,0,1,1
922,973,58,845,0,1,1
221,397,387,239,0,1,1
87,456,959,302,0,1,1
799,695,922,356,0,1,1
437,589,909,935,0,1,1
112,0,597,2,0,1,1
8,271,2,27,0,1,1
667,3,0,0,0,1,1
556,921,79,573,0,1,1
793,72,722,900,0,1,1
351,617,316,87,0,1,1
176,487,160,227,0,1,1
404,994,356,610,0,1,1
560,561,87,477,0,1,1
751,779,583,691,0,1,1
940,842,588,298,0,1,1
992,803,324,972,0,1,1
148,5,599,3,0,1,1
4,6,5,256,0,1,1
386,326,160,814,0,1,1
879,687,627,169,0,1,1
976,417,531,423,0,1,1
739,211,671,408,0,1,1
700,273,743,208,0,1,1
257,769,505,285,0,1,1
1023,943,223,930,0,1,1
20,65,10,0,0,1,1
277,435,451,932,0,1,1
236,394,293,343,0,1,1
896,213,220,789,0,1,1
290,299,336,216,0,1,1
467,766,147,469,0,1,1
860,787,528,172,0,1,1
483,2,6,110,0,1,1
119,135,586,17,0,1,1
383,431,211,601,0,1,1
0,899,22,33,0,1,1
527,626,141,660,0,1,1
35,133,291,554,0,1,1
794,556,614,925,0,1,1
28,22,52,0,0,1,1
773,474,455,747,0,1,1
2,174,252,4,0,1,1
176,680,739,126,0,1,1
861,8,712,482,0,1,1
359,312,744,474,0,1,1
126,11,503,1,0,1,1
114,9,4,93,0,1,1
320,35,202,395,0,1,1
1000,417,381,19,0,1,1
502,941,780,814,0,1,1
587,471,331,27,0,1,1
98,1,1,826,0,1,1
765,156,146,438,0,1,1
980,724,475,964,0,1,1
831,118,635,916,0,1,1
383,976,872,601,0,1,1
596,119,164,999,0,1,1
27,27,77,22,0,1,1
885,84,312,876,0,1,1
783,67,473,38,0,1,1
397,713,552,936,0,1,1
829,287,404,562,0,1,1
235,1,128,10,0,1,1
703,912,648,161,0,1,1
234,583,683,666,0,1,1
355,40,210,979,0,1,1
508,943,158,821,0,1,1
631,137,85,820,0,1,1
251,595,90,731,0,1,1
314,494,1012,1009,0,1,1
958,375,949,189,0,1,1
364,3,13,86,0,1,1
14,75,761,557,0,1,1
1020,114,760,637,0,1,1
16,826,646,509,0,1,1
319,474,156,1,0,1,1
1014,685,999,465,0,1,1
229,404,968,881,0,1,1
18,11,19,65,0,1,1
6,425,549,746,0,1,1
110,5,6,271,0,1,1
15,502,443,170,0,1,1
924,943,536,862,0,1,1
1011,629,1006,413,0,1,1
931,468,145,211,0,1,1
320,0,8,290,0,1,1
387,3,565,0,0,1,1
481,92,920,891,0,1,1
92,984,1018,243,0,1,1
638,713,438,577,0,1,1
0,655,30,29,0,1,1
649,240,783,396,0,1,1
730,923,992,86,0,1,1
548,855,827,32,0,1,1
5,86,4,62,0,1,1
623,297,492,906,0,1,1
348,625,1020,270,0,1,1
890,804,573,1020,0,1,1
122,867,315,173,0,1,1
587,109,713,738,0,1,1
124,361,365,36,0,1,1
865,384,645,201,0,1,1
314,849,973,889,0,1,1
638,233,537,580,0,1,1
52,87,450,499,0,1,1
171,7,2,255,0,1,1
930,494,462,602,0,1,1
14,177,31,0,0,1,1
257,908,648,68,0,1,1
11,589,696,325,0,1,1
57,723,220,839,0,1,1
424,312,434,777,0,1,1
869,748,983,315,0,1,1
812,802,77,475,0,1,1
637,477,711,242,0,1,1
76,400,914,918,0,1,1
909,243,260,740,0,1,1
928,159,817,113,0,1,1
993,911,148,928,0,1,1
1005,803,652,874,0,1,1
941,160,896,822,0,1,1
128,219,190,833,0,1,1
974,752,698,588,0,1,1
747,734,174,379,0,1,1
765,977,835,866,0,1,1
174,3,0,624,0,1,1
144,853,368,823,0,1,1
219,879,258,670,0,1,1
848,1023,662,377,0,1,1
829,844,366,311,0,1,1
77,617,891,1008,0,1,1
995,260,90,732,0,1,1
308,1007,297,820,0,1,1
256,6,637,0,0,1,1
900,1012,799,208,0,1,1
91,240,211,14,0,1,1
43,865,306,244,0,1,1
854,958,443,70,0,1,1
31,28,2,97,0,1,1
293,304,962,539,0,1,1
83,12,75,691,0,1,1
358,845,584,67,0,1,1
671,1021,416,497,0,1,1
553,2,14,81,0,1,1
159,384,579,907,0,1,1
103,709,106,468,0,1,1
395,194,47,1008,0,1,1
737,503,598,624,0,1,1
633,765,155,495,0,1,1
621,793,344,100,0,1,1
250,0,4,418,0,1,1
2,460,541,3,0,1,1
449,5,917,0,0,1,1
128,4,4,323,0,1,1
228,5,124,4,0,1,1
707,977,289,938,0,1,1
196,4,239,6,0,1,1
34,29,6,171,0,1,1
729,1018,126,205,0,1,1
597,216,713,674,0,1,1
415,325,307,636,0,1,1
317,422,257,985,0,1,1
5,15,62,16,0,1,1
161,87,309,362,0,1,1
834,356,879,818,0,1,1
878,588,399,181,0,1,1
783,108,278,328,0,1,1
1008,438,1013,851,0,1,1
976,4,395,508,0,1,1
898,264,281,347,0,1,1
161,292,278,275,0,1,1
234,601,67,334,0,1,1
68,12,3,295,0,1,1
828,768,859,560,0,1,1
776,507,849,742,0,1,1
274,360,560,436,0,1,1
32,1018,174,662,0,1,1
547,305,632,509,0,1,1
652,225,929,361,0,1,1
844,885,732,766,0,1,1
548,634,402,160,0,1,1
397,115,799,1008,0,1,1
1,269,12,71,0,1,1
141,735,135,265,0,1,1
187,893,42,37,0,1,1
1,587,74,469,0,1,1
57,21,12,77,0,1,1
392,640,458,711,0,1,1
257,994,935,386,0,1,1
740,113,778,110,0,1,1
280,736,1021,326,0,1,1
2,154,1,945,0,1,1
591,652,521,566,0,1,1
447,2,2,590,0,1,1
4,212,5,275,0,1,1
631,281,4,696,0,1,1
9,120,664,1013,0,1,1
930,915,614,758,0,1,1
198,330,252,658,0,1,1
648,714,145,162,0,1,1
977,449,523,328,0,1,1
617,926,302,736,0,1,1
1,444,4,37,0,1,1
5,289,5,164,0,1,1
0,633,4,630,0,1,1
482,392,710,959,0,1,1
247,11,98,919,0,1,1
485,183,763,833,0,1,1
157,785,622,629,0,1,1
423,300,249,488,0,1,1
3,39,13,121,0,1,1
346,920,70,940,0,1,1
314,817,704,1006,0,1,1
7,45,2,323,0,1,1
649,2,234,2,0,1,1
3,415,22,6,0,1,1
686,881,807,358,0,1,1
504,573,626,787,0,1,1
134,2,43,18,0,1,1
209,213,736,640,0,1,1
97,224,203,357,0,1,1
84,904,999,312,0,1,1
999,588,378,118,0,1,1
106,861,534,981,0,1,1
592,225,920,454,0,1,1
91,641,766,431,0,1,1
619,0,118,11,0,1,1
401,418,443,874,0,1,1
302,438,643,290,0,1,1
2,1022,788,841,0,1,1
173,229,510,967,0,1,1
234,345,477,268,0,1,1
159,419,408,672,0,1,1
259,476,254,742,0,1,1
644,489,116,1009,0,1,1
542,879,236,166,0,1,1
135,833,879,189,0,1,1
1018,236,396,803,0,1,1
600,568,153,376,0,1,1
477,1,668,563,0,1,1
617,19,598,309,0,1,1
66,307,915,162,0,1,1
3,846,0,343,0,1,1
448,975,388,738,0,1,1
663,643,693,230,0,1,1
819,617,729,94,0,1,1
853,135,929,483,0,1,1
229,685,611,13,0,1,1
249,963,82,623,0,1,1
965,915,952,939,0,1,1
48,658,262,108,0,1,1
958,17,681,607,0,1,1
756,638,1022,788,0,1,1
200,921,841,311,0,1,1
211,430,548,181,0,1,1
510,783,103,84,0,1,1
171,89,412,739,0,1,1
83,1,456,2,0,1,1
178,688,1015,157,0,1,1
253,197,816,869,0,1,1
365,487,684,473,0,1,1
161,274,226,140,0,1,1
821,17,432,405,0,1,1
415,685,360,445,0,1,1
294,165,967,233,0,1,1
463,460,495,557,0,1,1
0,267,1,62,0,1,1
301,174,32,330,0,1,1
304,841,262,924,0,1,1
334,4,36,22,0,1,1
622,35,3,98,0,1,1
637,787,952,94,0,1,1
207,446,43,780,0,1,1
189,805,619,599,0,1,1
533,29,911,689,0,1,1
527,23,33,601,0,1,1
707,974,750,115,0,1,1
0,23,450,1,0,1,1
869,956,810,306,0,1,1
976,630,397,997,0,1,1
0,857,124,3,0,1,1
6,80,6,235,0,1,1
635,718,540,399,0,1,1
129,463,816,768,0,1,1
818,190,225,913,0,1,1
3,81,6,61,0,1,1
887,923,254,271,0,1,1
14,86,920,1,0,1,1
827,95,535,624,0,1,1
711,337,704,374,0,1,1
1,1010,11,88,0,1,1
274,808,47,151,0,1,1
389,662,379,542,0,1,1
941,697,866,605,0,1,1
715,386,291,622,0,1,1
553,478,977,645,0,1,1
52,24,95,11,0,1,1
0,124,15,71,0,1,1
319,821,1008,721,0,1,1
65,285,109,975,0,1,1
35,654,138,332,0,1,1
1,250,333,3,0,1,1
7,3,927,2,0,1,1
9,673,415,220,0,1,1
640,375,247,398,0,1,1
2,376,355,1,0,1,1
908,485,574,109,0,1,1
663,0,8,285,0,1,1
513,412,139,292,0,1,1
488,597,94,822,0,1,1
792,145,113,327,0,1,1
0,562,25,26,0,1,1
101,639,476,254,0,1,1
223,28,762,147,0,1,1
598,921,109,102,0,1,1
770,628,924,661,0,1,1
658,548,182,107,0,1,1
265,441,527,892,0,1,1
5,59,15,68,0,1,1
259,831,208,290,0,1,1
372,487,37,202,0,1,1
669,639,901,692,0,1,1
911,79,459,569,0,1,1
372,3,0,125,0,1,1
73,321,821,317,0,1,1
276,2,14,129,0,1,1
618,47,241,955,0,1,1
22,38,61,10,0,1,1
733,984,915,148,0,1,1
12,71,502,1,0,1,1
28,15,0,697,0,1,1
913,784,836,321,0,1,1
543,387,48,280,0,1,1
547,937,420,932,0,1,1
680,757,19,178,0,1,1
319,5,2,36,0,1,1
283,220,389,1002,0,1,1
2,580,4,145,0,1,1
880,305,72,569,0,1,1
192,488,499,346,0,1,1
643,217,897,603,0,1,1
6,179,35,0,0,1,1
962,42,249,492,0,1,1
860,531,162,112,0,1,1
828,163,1020,391,0,1,1
615,76,260,896,0,1,1
197,384,960,12,0,1,1
127,789,84,883,0,1,1
130,458,908,587,0,1,1
949,972,379,792,0,1,1
298,3,173,2,0,1,1
506,914,252,597,0,1,1
408,963,716,56,0,1,1
251,900,349,580,0,1,1
670,104,869,145,0,1,1
232,229,804,16,0,1,1
805,57,882,206,0,1,1
649,141,690,245,0,1,1
821,297,425,285,0,1,1
742,772,652,4,0,1,1
439,430,601,358,0,1,1
912,125,990,685,0,1,1
2,845,1,873,0,1,1
915,308,937,894,0,1,1
20,28,170,3,0,1,1
1,323,66,28,0,1,1
505,977,177,828,0,1,1
349,960,286,975,0,1,1
981,288,600,214,0,1,1
238,57,378,413,0,1,1
702,19,161,748,0,1,1
887,803,765,1005,0,1,1
608,963,605,682,0,1,1
262,798,15,449,0,1,1
25,40,9,16,0,1,1
1,390,1007,438,0,1,1
213,1019,493,57,0,1,1
357,73,883,268,0,1,1
728,432,278,658,0,1,1
531,459,4,653,0,1,1
670,948,365,261,0,1,1
319,407,227,541,0,1,1
439,796,751,528,0,1,1
750,1013,699,50,0,1,1
471,901,23,633,0,1,1
111,49,333,477,0,1,1
958,13,373,940,0,1,1
806,833,72,755,0,1,1
915,521,736,537,0,1,1
837,918,382,807,0,1,1
787,289,956,565,0,1,1
98,269,814,708,0,1,1
625,981,299,353,0,1,1
439,894,963,633,0,1,1
450,877,914,406,0,1,1
968,551,445,217,0,1,1
737,841,445,311,0,1,1
697,80,700,308,0,1,1
44,393,616,877,0,1,1
268,262,69,181,0,1,1
434,311,687,341,0,1,1
9,135,95,5,0,1,1
377,789,693,62,0,1,1
615,1019,539,415,0,1,1
555,251,193,734,0,1,1
1010,879,799,651,0,1,1
500,525,10,675,0,1,1
784,171,349,383,0,1,1
243,8,0,437,0,1,1
267,614,735,581,0,1,1
129,150,552,954,0,1,1
59,5,45,42,0,1,1
652,429,80,511,0,1,1
798,697,836,647,0,1,1
282,614,655,880,0,1,1
757,825,170,142,0,1,1
749,217,788,168,0,1,1
439,458,906,690,0,1,1
155,837,413,949,0,1,1
983,255,730,39,0,1,1
606,890,816,964,0,1,1
883,935,436,128,0,1,1
245,56,310,785,0,1,1
365,83,690,12,0,1,1
640,167,853,691,0,1,1
595,787,130,67,0,1,1
872,48,854,367,0,1,1
321,311,430,11,0,1,1
386,782,284,607,0,1,1
680,541,932,581,0,1,1
94,302,58,193,0,1,1
107,711,901,510,0,1,1
643,599,452,522,0,1,1
545,899,184,221,0,1,1
321,140,12,405,0,1,1
874,946,957,897,0,1,1
654,449,508,425,0,1,1
713,84,96,309,0,1,1
773,672,634,510,0,1,1
382,221,800,686,0,1,1
588,163,1016,571,0,1,1
324,1,80,0,0,1,1
711,0,72,4,0,1,1
208,349,876,33,0,1,1
988,1016,751,908,0,1,1
491,651,38,491,0,1,1
387,173,273,379,0,1,1
132,390,988,337,0,1,1
4,76,39,4,0,1,1
0,655,145,4,0,1,1
242,7,0,540,0,1,1
506,469,638,588,0,1,1
978,278,421,551,0,1,1
897,95,875,244,0,1,1
517,786,14,505,0,1,1
140,66,963,283,0,1,1
1020,714,554,53,0,1,1
362,816,503,384,0,1,1
267,215,527,148,0,1,1
186,144,461,885,0,1,1
155,631,190,89,0,1,1
22,75,6,3,0,1,1
4,298,16,56,0,1,1
370,816,11,120,0,1,1
30,895,728,297,0,1,1
579,73,253,849,0,1,1
523,78,740,659,0,1,1
564,644,7,331,0,1,1
784,525,459,532,0,1,1
82,961,448,1004,0,1,1
138,950,302,451,0,1,1
82,3,229,3,0,1,1
683,400,460,542,0,1,1
49,28,21,11,0,1,1
683,478,396,524,0,1,1
124,738,677,297,0,1,1
682,0,198,6,0,1,1
197,5,53,2,0,1,1
719,277,50,12,0,1,1
775,661,45,637,0,1,1
427,251,606,352,0,1,1
852,745,4,266,0,1,1
282,874,363,842,0,1,1
671,919,702,467,0,1,1
587,446,558,399,0,1,1
245,769,160,549,0,1,1
430,470,267,242,0,1,1
692,205,311,944,0,1,1
334,220,781,756,0,1,1
392,272,666,603,0,1,1
566,221,954,78,0,1,1
643,481,179,396,0,1,1
13,684,572,600,0,1,1
0,447,544,2,0,1,1
638,681,84,1017,0,1,1
4,26,1,716,0,1,1
544,0,3,313,0,1,1
89,668,131,871,0,1,1
538,2,422,2,0,1,1
0,706,640,3,0,1,1
30,976,481,689,0,1,1
712,785,717,979,0,1,1
826,70,14,680,0,1,1
879,800,800,628,0,1,1
703,7,555,186,0,1,1
210,123,947,828,0,1,1
706,1,468,3,0,1,1
556,823,911,286,0,1,1
34,792,274,57,0,1,1
979,853,802,793,0,1,1
213,7,969,186,0,1,1
651,759,358,244,0,1,1
547,1022,376,792,0,1,1
363,49,159,608,0,1,1
0,775,11,20,0,1,1
435,14,923,805,0,1,1
195,515,240,987,0,1,1
588,133,660,736,0,1,1
937,914,766,865,0,1,1
4,353,850,1,0,1,1
841,330,214,522,0,1,1
636,968,998,319,0,1,1
350,45,545,59,0,1,1
703,970,42,82,0,1,1
3,183,1,893,0,1,1
907,488,546,354,0,1,1
636,644,443,997,0,1,1
241,749,421,146,0,1,1
736,1002,917,998,0,1,1
650,2,9,82,0,1,1
245,984,38,570,0,1,1
121,236,746,337,0,1,1
885,777,655,673,0,1,1
892,257,885,943,0,1,1
453,580,659,700,0,1,1
913,433,409,235,0,1,1
705,376,965,189,0,1,1
347,525,886,307,0,1,1
299,127,121,747,0,1,1
227,744,715,110,0,1,1
309,613,255,698,0,1,1
114,906,695,129,0,1,1
465,865,176,468,0,1,1
874,612,81,792,0,1,1
42,9,51,40,0,1,1
758,997,20,5,0,1,1
232,14,866,561,0,1,1
9,39,411,5,0,1,1
186,343,648,47,0,1,1
909,188,962,377,0,1,1
415,534,307,748,0,1,1
500,887,443,277,0,1,1
418,885,459,90,0,1,1
600,92,965,647,0,1,1
2,312,6,78,0,1,1
364,23,626,90,0,1,1
927,19,210,335,0,1,1
157,729,274,517,0,1,1
159,110,713,637,0,1,1
259,907,589,937,0,1,1
931,509,36,611,0,1,1
1014,962,321,348,0,1,1
229,26,835,141,0,1,1
498,687,449,567,0,1,1
367,335,223,578,0,1,1
236,238,18,127,0,1,1
842,76,807,188,0,1,1
38,6,507,0,0,1,1
415,973,168,756,0,1,1
738,897,235,335,0,1,1
754,938,372,708,0,1,1
390,886,650,696,0,1,1
861,864,411,585,0,1,1
686,265,517,505,0,1,1
411,646,607,649,0,1,1
968,922,83,1013,0,1,1
729,1006,802,177,0,1,1
627,85,552,129,0,1,1
186,316,152,508,0,1,1
40,866,81,526,0,1,1
0,458,4,639,0,1,1
62,395,333,760,0,1,1
278,107,140,215,0,1,1
115,575,577,303,0,1,1
689,346,257,672,0,1,1
452,985,663,953,0,1,1
445,146,656,24,0,1,1
804,929,197,301,0,1,1
35,942,448,862,0,1,1
760,676,148,297,0,1,1
238,644,312,447,0,1,1
681,376,258,893,0,1,1
1020,207,415,793,0,1,1
534,667,225,310,0,1,1
806,581,643,295,0,1,1
818,775,384,759,0,1,1
47,480,791,339,0,1,1
463,239,88,201,0,1,1
641,1,13,42,0,1,1
7,39,524,2,0,1,1
919,859,48,510,0,1,1
662,0,4,110,0,1,1
211,348,864,341,0,1,1
297,234,509,749,0,1,1
705,874,942,110,0,1,1
569,862,956,438,0,1,1
9,70,2,277,0,1,1
219,155,583,72,0,1,1
26,48,15,46,0,1,1
813,3,0,78,0,1,1
592,225,570,23,0,1,1
437,264,543,564,0,1,1
484,824,1008,189,0,1,1
118,555,346,777,0,1,1
506,1,33,37,0,1,1
414,77,230,731,0,1,1
593,609,920,291,0,1,1
597,899,971,664,0,1,1
237,427,236,250,0,1,1
846,131,277,524,0,1,1
197,873,606,121,0,1,1
417,193,412,263,0,1,1
856,468,564,169,0,1,1
8,161,632,157,0,1,1
751,606,507,994,0,1,1
327,261,700,573,0,1,1
401,501,488,323,0,1,1
889,407,6,416,0,1,1
736,239,676,26,0,1,1
806,360,988,156,0,1,1
608,433,913,23,0,1,1
603,61,643,809,0,1,1
1017,460,431,743,0,1,1
998,157,794,734,0,1,1
2,601,428,219,0,1,1
325,815,586,486,0,1,1
829,455,580,932,0,1,1
374,304,434,372,0,1,1
901,502,689,801,0,1,1
95,756,818,281,0,1,1
61,867,645,1021,0,1,1
224,572,939,692,0,1,1
313,8,484,67,0,1,1
91,499,439,507,0,1,1
805,359,456,384,0,1,1
398,976,971,1017,0,1,1
543,53,259,692,0,1,1
333,723,352,738,0,1,1
631,584,56,262,0,1,1
1,405,26,69,0,1,1
914,882,37,449,0,1,1
487,770,684,122,0,1,1
415,836,852,920,0,1,1
318,255,905,265,0,1,1
228,395,157,345,0,1,1
521,905,40,600,0,1,1
663,11,513,616,0,1,1
257,349,713,265,0,1,1
616,740,302,18,0,1,1
601,676,257,535,0,1,1
0,140,111,5,0,1,1
4,152,11,60,0,1,1
298,788,154,465,0,1,1
718,699,128,856,0,1,1
407,531,93,989,0,1,1
504,633,164,467,0,1,1
24,26,575,0,0,1,1
559,242,672,252,0,1,1
543,749,414,159,0,1,1
92,437,340,679,0,1,1
888,265,895,190,0,1,1
0,143,11,172,0,1,1
382,901,331,703,0,1,1
794,411,494,493,0,1,1
926,148,789,322,0,1,1
56,22,886,0,0,1,1
48,295,489,61,0,1,1
1011,433,368,458,0,1,1
935,344,69,774,0,1,1
898,678,907,82,0,1,1
807,4,225,189,0,1,1
615,486,36,907,0,1,1
348,352,130,793,0,1,1
